OTU	clasificador
69218	2528185
329	1594623
53335	671281
1560356	642132
91347	451022
1378084	414344
48736	395654
487316	388520
59814	280130
0	259662
500639	214504
1076549	196831
1560357	151963
469	151672
1461259	139266
1461261	120705
570	118193
543	94486
2135499	90113
1076550	86738
33986	71076
33882	61813
1978350	47563
2485131	42585
1358411	32854
2071684	32228
1217706	31856
69218	31532
1380362	30516
354276	28004
80840	26048
2071683	25697
1785092	25450
1561068	25439
1217712	25089
571	24178
36866	24085
547	23807
1860097	23219
1930747	23116
1264675	22837
2	22775
1224	21937
2003658	21666
995085	20920
1076551	19647
329	19519
1628190	18760
55209	18086
592316	17561
305	16273
1560355	15032
105219	14939
550	14836
299767	14606
1358421	14586
1628192	14380
1566294	14139
552	13774
1332069	13630
1451233	12954
296995	11556
470934	11498
2072407	11050
2072406	10941
1903409	10399
2072405	10296
1217677	9965
2494702	9697
28216	8773
549	8549
40324	8283
1560356	8213
53335	8206
1144320	7859
119060	7151
562	7070
891974	7065
158836	6852
13687	6708
553	6618
1737355	6491
1225184	6376
2282216	6344
2448774	5962
573	5788
472693	5662
2419509	5620
1869313	5566
1964541	5554
1378084	5258
91347	5192
1681195	5101
190721	5026
487316	4978
2072408	4976
2072409	4937
613	4885
472705	4883
1736294	4654
48736	4580
1017277	4451
2072413	4222
1350	4173
2219865	3963
2184004	3928
299766	3922
1217052	3886
1399115	3885
1676617	3849
378794	3843
2080494	3730
37734	3627
59814	3579
1236	3510
1241306	3485
1465635	3352
208224	3326
2305463	3038
470932	2904
1134687	2898
1805000	2862
2027922	2852
0	2836
909768	2796
472695	2754
500639	2734
54067	2573
1076549	2565
41297	2527
539813	2523
1217708	2432
629	2368
336306	2309
551	2243
1914306	2195
1881036	2192
55968	2154
1891675	2133
41170	2132
1079994	2125
1267600	2106
544	2084
2170735	2064
28901	2030
40323	2014
1274722	1993
182337	1981
1812935	1935
903918	1927
1560357	1895
1561217	1813
61645	1811
861268	1806
469	1804
85023	1772
1903411	1761
1760	1760
546	1727
561	1720
1217707	1713
1461259	1700
470	1691
1684312	1627
574096	1623
34037	1618
615	1569
152682	1534
48296	1508
1661746	1490
1461261	1453
1490476	1452
2485126	1451
570	1441
1928656	1398
1579345	1372
2202164	1366
1681196	1363
1925589	1347
1914243	1346
28141	1335
134534	1329
2497684	1314
548	1304
1619951	1302
66269	1297
1526743	1285
85006	1264
663704	1263
244366	1251
1619313	1199
543	1196
2029109	1176
1770208	1166
2072414	1164
1330547	1159
1310638	1157
61646	1143
1560201	1111
559104	1111
1076550	1109
465817	1107
1296536	1103
2135499	1099
82976	1084
51288	1073
83655	1071
122277	1067
204037	1067
881260	1065
1219360	1058
1217703	1050
1686285	1046
1593232	1043
1217697	1036
2025587	1026
33986	964
158822	948
83654	942
28211	918
52133	912
29430	911
413497	903
371042	867
131567	863
1378073	842
40215	835
1330545	831
1416752	831
580	815
1761782	808
2022746	807
61647	799
1144672	783
1795053	776
82380	771
33882	759
1458355	743
1975707	739
1776741	718
2072412	717
80864	709
1344959	703
286	698
379893	694
413496	688
255519	686
2060068	675
1812934	670
577	667
2259618	666
1354251	666
34072	665
55211	658
41202	658
1736298	654
199592	644
1917973	630
413503	627
1470592	624
1224136	619
2364150	610
2103230	605
61652	584
470931	583
1849031	577
665914	572
1867410	572
35703	567
1163710	563
2027923	563
1978350	561
2109729	559
2485131	557
138074	545
554	545
2022662	545
1805933	542
202955	541
2293101	540
569	538
618	536
2066047	535
1755099	535
1217702	535
929813	533
614	532
1484158	522
2060307	519
29484	516
1690502	512
69222	512
431059	506
357240	503
413502	495
1603299	493
356	491
208223	488
1367852	488
1914861	486
582	485
1328362	484
1217699	483
1926881	477
69224	472
